caseMasterId,crimeNo,caseNo,registeredDate,districtName,unitName,headName,subHeadName,statusName,gravityName,anomalyFlag
44810,101373273202600015,202600015,2026-07-24,Vijayanagara,Vijayanagara North PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44811,101143114202600041,202600041,2026-07-24,Davanagere,Davanagere Town PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44812,101013009202600197,202600197,2026-07-24,Bengaluru City,Indiranagar PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44814,101063053202600021,202600021,2026-07-24,Dakshina Kannada,Dakshina Kannada North PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44815,101033028202600038,202600038,2026-07-24,Mysuru City,Mysuru Market PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44816,101103087202600024,202600024,2026-07-24,Belagavi District,Belagavi District Extension PS,Cyber Crimes,Social-Media Offence,Under Investigation,Non-Heinous,false
44817,101303215202600024,202600024,2026-07-24,Raichur,Raichur West PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44818,101143114202600042,202600042,2026-07-24,Davanagere,Davanagere Town PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44819,101043038202600028,202600028,2026-07-24,Mysuru District,Mysuru District Extension PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44820,101043036202600018,202600018,2026-07-24,Mysuru District,Mysuru District North PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44821,101263190202600015,202600015,2026-07-24,Bagalkot,Bagalkot Town PS,Crimes Against Body,Kidnapping,Under Investigation,Heinous,false
44822,101313223202600012,202600012,2026-07-24,Koppal,Koppal West PS,Crimes Against Women,Molestation,Under Investigation,Non-Heinous,false
44823,801143115202600002,202600002,2026-07-24,Davanagere,Davanagere Rural PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44805,101333237202600012,202600012,2026-07-24,Bidar,Bidar Rural PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44786,101343244202600017,202600017,2026-07-23,Chitradurga,Chitradurga Town PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44785,101063051202600020,202600020,2026-07-23,Dakshina Kannada,Dakshina Kannada East PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44784,301013001202600025,202600025,2026-07-23,Bengaluru City,Peenya PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44783,101073056202600030,202600030,2026-07-23,Hubballi-Dharwad City,Hubballi-Dharwad South PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44782,101263190202600014,202600014,2026-07-23,Bagalkot,Bagalkot Town PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44781,301293210202600007,202600007,2026-07-23,Uttara Kannada,Uttara Kannada East PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44780,101253187202600019,202600019,2026-07-23,Ramanagara,Ramanagara Extension PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44779,101143116202600038,202600038,2026-07-23,Davanagere,Davanagere East PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44778,301013006202600028,202600028,2026-07-23,Bengaluru City,Yeshwanthpur PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44777,101233170202600021,202600021,2026-07-23,Kolar,Kolar Town PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44776,101213157202600025,202600025,2026-07-23,Chamarajanagar,Chamarajanagar Town PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44775,301093073202600002,202600002,2026-07-23,Belagavi City,Belagavi North PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44774,101013002202600173,202600173,2026-07-23,Bengaluru City,Whitefield PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44773,101013009202600194,202600194,2026-07-23,Bengaluru City,Indiranagar PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44772,101043036202600017,202600017,2026-07-23,Mysuru District,Mysuru District North PS,Public Order,Riot,Under Investigation,Non-Heinous,false
44771,101253189202600011,202600011,2026-07-23,Ramanagara,Ramanagara Taluk PS,Crimes Against Body,Attempt to Murder,Under Investigation,Heinous,false
44770,101023018202600026,202600026,2026-07-23,Bengaluru District,Bengaluru District West PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44769,101073062202600031,202600031,2026-07-23,Hubballi-Dharwad City,Hubballi-Dharwad Rural PS,Crimes Against Women,Cruelty by Husband,Under Investigation,Non-Heinous,false
44768,101073063202600064,202600064,2026-07-23,Hubballi-Dharwad City,Hubballi-Dharwad Camp PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44767,101233175202600024,202600024,2026-07-23,Kolar,Kolar South PS,Crimes Against Women,Cruelty by Husband,Under Investigation,Non-Heinous,false
44766,101073060202600027,202600027,2026-07-23,Hubballi-Dharwad City,Hubballi-Dharwad Market PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
44765,101143114202600040,202600040,2026-07-23,Davanagere,Davanagere Town PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44764,101033027202600039,202600039,2026-07-23,Mysuru City,Mysuru Town PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44763,101013003202600157,202600157,2026-07-23,Bengaluru City,Upparpet PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44762,101013004202600171,202600171,2026-07-23,Bengaluru City,Jayanagar PS,Crimes Against Women,Molestation,Under Investigation,Non-Heinous,false
44761,101163129202600031,202600031,2026-07-23,Tumakuru,Tumakuru South PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44760,101013009202600193,202600193,2026-07-23,Bengaluru City,Indiranagar PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44759,101013012202600154,202600154,2026-07-23,Bengaluru City,Hebbal PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44758,801053044202600002,202600002,2026-07-23,Mangaluru City,Mangaluru Market PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44757,101013011202600143,202600143,2026-07-23,Bengaluru City,Basavanagudi PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44756,101013006202600179,202600179,2026-07-23,Bengaluru City,Yeshwanthpur PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44755,101143117202600041,202600041,2026-07-23,Davanagere,Davanagere West PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44754,101183139202600033,202600033,2026-07-23,Hassan,Hassan Rural PS,Narcotics,NDPS Possession,Under Investigation,Non-Heinous,false
44753,101053041202600026,202600026,2026-07-23,Mangaluru City,Mangaluru East PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44752,101023016202600026,202600026,2026-07-23,Bengaluru District,Bengaluru District Rural PS,Narcotics,NDPS Possession,Under Investigation,Non-Heinous,false
44751,101093073202600026,202600026,2026-07-23,Belagavi City,Belagavi North PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44750,101343250202600019,202600019,2026-07-23,Chitradurga,Chitradurga Extension PS,Cyber Crimes,Identity Theft,Under Investigation,Non-Heinous,false
44749,301013002202600008,202600008,2026-07-23,Bengaluru City,Whitefield PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44748,101073057202600036,202600036,2026-07-23,Hubballi-Dharwad City,Hubballi-Dharwad East PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44747,101163125202600036,202600036,2026-07-23,Tumakuru,Tumakuru Rural PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44746,301013004202600023,202600023,2026-07-23,Bengaluru City,Jayanagar PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44745,101173132202600021,202600021,2026-07-23,Udupi,Udupi Town PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44744,101043036202600016,202600016,2026-07-23,Mysuru District,Mysuru District North PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44743,101323231202600015,202600015,2026-07-23,Yadgir,Yadgir East PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44742,101243180202600028,202600028,2026-07-23,Chikkaballapur,Chikkaballapur West PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44741,101283205202600022,202600022,2026-07-23,Haveri,Haveri Rural PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44740,101013014202600197,202600197,2026-07-23,Bengaluru City,Electronic City PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44739,101103087202600023,202600023,2026-07-23,Belagavi District,Belagavi District Extension PS,Crimes Against Body,Kidnapping,Under Investigation,Heinous,false
44738,101373275202600024,202600024,2026-07-23,Vijayanagara,Vijayanagara Extension PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44737,401333236202600001,202600001,2026-07-23,Bidar,Bidar Town PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44736,101263190202600013,202600013,2026-07-23,Bagalkot,Bagalkot Town PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44735,101033031202600031,202600031,2026-07-23,Mysuru City,Mysuru Camp PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
44734,101013007202600179,202600179,2026-07-23,Bengaluru City,Banaswadi PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44733,101223165202600019,202600019,2026-07-23,Mandya,Mandya East PS,Cyber Crimes,Identity Theft,Under Investigation,Non-Heinous,false
44732,101333240202600014,202600014,2026-07-23,Bidar,Bidar North PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
44715,101013011202600142,202600142,2026-07-22,Bengaluru City,Basavanagudi PS,Property Crimes,Robbery,Under Investigation,Heinous,false
44694,301263196202600003,202600003,2026-07-22,Bagalkot,Bagalkot Extension PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44695,101323229202600015,202600015,2026-07-22,Yadgir,Yadgir Town PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44696,101013003202600155,202600155,2026-07-22,Bengaluru City,Upparpet PS,Crimes Against Body,Grievous Hurt,Under Investigation,Non-Heinous,false
44697,101163126202600017,202600017,2026-07-22,Tumakuru,Tumakuru East PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44698,101173133202600021,202600021,2026-07-22,Udupi,Udupi Rural PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44699,101293209202600037,202600037,2026-07-22,Uttara Kannada,Uttara Kannada Rural PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44700,101013001202600160,202600160,2026-07-22,Bengaluru City,Peenya PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44701,301213160202600002,202600002,2026-07-22,Chamarajanagar,Chamarajanagar West PS,Others,Missing Person,Under Investigation,Non-Heinous,false
44702,101023019202600025,202600025,2026-07-22,Bengaluru District,Bengaluru District North PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
44703,101013002202600171,202600171,2026-07-22,Bengaluru City,Whitefield PS,Property Crimes,HB Night,Under Investigation,Non-Heinous,false
44704,101013007202600178,202600178,2026-07-22,Bengaluru City,Banaswadi PS,Public Order,Riot,Under Investigation,Non-Heinous,false
44705,101383277202600008,202600008,2026-07-22,Bengaluru Rural South,Bengaluru Rural South Rural PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44706,301373273202600003,202600003,2026-07-22,Vijayanagara,Vijayanagara North PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44707,101013006202600177,202600177,2026-07-22,Bengaluru City,Yeshwanthpur PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44708,101013001202600161,202600161,2026-07-22,Bengaluru City,Peenya PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44709,101053042202600036,202600036,2026-07-22,Mangaluru City,Mangaluru West PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44710,101163125202600035,202600035,2026-07-22,Tumakuru,Tumakuru Rural PS,Narcotics,NDPS Possession,Under Investigation,Non-Heinous,false
44711,101033028202600036,202600036,2026-07-22,Mysuru City,Mysuru Market PS,Property Crimes,Vehicle Theft,Under Investigation,Non-Heinous,false
44712,301083065202600002,202600002,2026-07-22,Dharwad District,Dharwad District Rural PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44714,101383277202600009,202600009,2026-07-22,Bengaluru Rural South,Bengaluru Rural South Rural PS,Property Crimes,Robbery,Under Investigation,Heinous,false
44713,101013002202600172,202600172,2026-07-22,Bengaluru City,Whitefield PS,Crimes Against Body,Murder,Under Investigation,Heinous,false
44731,101173134202600024,202600024,2026-07-22,Udupi,Udupi East PS,Property Crimes,Theft,Under Investigation,Non-Heinous,false
44730,101273202202600021,202600021,2026-07-22,Gadag,Gadag West PS,Property Crimes,HB Day,Under Investigation,Non-Heinous,false
44729,101163124202600024,202600024,2026-07-22,Tumakuru,Tumakuru Town PS,Property Crimes,Robbery,Under Investigation,Heinous,false
44728,101293209202600038,202600038,2026-07-22,Uttara Kannada,Uttara Kannada Rural PS,Public Order,Unlawful Assembly,Under Investigation,Non-Heinous,false
44727,101013006202600178,202600178,2026-07-22,Bengaluru City,Yeshwanthpur PS,Economic Offences,Cheating,Under Investigation,Non-Heinous,false
44726,301363263202600001,202600001,2026-07-22,KGF,KGF West PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44725,101013003202600156,202600156,2026-07-22,Bengaluru City,Upparpet PS,Cyber Crimes,Online Fraud,Under Investigation,Non-Heinous,false
44724,301013012202600018,202600018,2026-07-22,Bengaluru City,Hebbal PS,Others,Accidental Death,Under Investigation,Non-Heinous,false
44716,101093076202600022,202600022,2026-07-22,Belagavi City,Belagavi West PS,Property Crimes,Chain Snatching,Under Investigation,Non-Heinous,false
